job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
Java开发工程师_北京中台,北京-朝阳区,,15-30k·14薪,"3-5年,大专,分布式,spring,java,mysql,mybatis,数据库,redis,sql,netty,python",深圳市雪球科技有限公司,互联网/电商,50-99人,倪女士,HRM
JAVA开发工程师(J10584),北京-东城区,,15-30k,"3-5年,本科,java",TalkingData,互联网/电商,C轮,王先生,大客户经理
job_title,job_dq,job_tag,job_salary,job_labels,company,company_field,company_size,hr,hr_pos
Java开发工程师,南京-江宁区,急聘,15-25k,"1-3年,本科,电商领域,系统开发,架构开发,架构设计,RabbitMQ,Kafka,Elasticsearch,SQL,Redis,Java",南京博晟宇网络科技有限公司,大数据,融资未公开,何女士,
java开发工程师,武汉-洪山区,急聘,12-20k,"3-5年,本科,Javascript",北京双泽维度信息技术有限公司,数据服务商,50-99人,张女士,出纳/行政内勤/客户助理
技术/研发总监,南京-建邺区,急聘,25-35k·13薪,"3-5年,统招本科,架构设计,前端开发,系统设计,SpringBoot,SpringCloud,Nginx,JVM,Java,团队管理,技术战略",江苏新华烽火数据技术有限公司,通信业,1-49人,高女士,人力资源经理/主管
JAVA微服务高级工程师,大连,,15-25k·15薪,"5-10年,本科及以上,Java,微服务",知名跨国IT公司,计算机软件,融资未公开,龚女士,猎头顾问
Java Developer,天津-滨海新区,,15-25k·13薪,"3-5年,统招本科,Koa,j2me,J2SE,SQL,Java",某知名公司,计算机软件,不需要融资,丁先生,猎头顾问
大学java讲师带薪寒假8-12K,常德-武陵区,,8-12k,"1-3年,统招本科",湖北美和易思教育科技有限公司湖南分公司,专业服务,1000-2000人,邹女士,
java架构师,深圳-南山区,,25-40k,"5-10年,统招本科,java,spring,mysql,linux,redis,mybatis,sql",诺博医疗,医疗器械,C轮,刘女士,人事行政经理
高级java工程师,深圳-南山区,,18-30k,"5-10年,本科,spring,java,mysql,mybatis,数据库,redis,linux,sql,git,shell",诺博医疗,医疗器械,C轮,刘女士,人事行政经理
Java资深/架构师/总监,深圳,,35-70k·14薪,"10年以上,本科",跨越速运,交通/物流/运输,10000人以上,郭先生,招聘专家
 java,重庆-南岸区,,8-12k·13薪,"3-5年,本科,模块开发,Spring,系统开发,框架设计,框架开发,SQL,Java",愉客行,交通/物流/运输,融资未公开,郑女士,HR
JAVA开发工程师（DHR),广州-天河区,,12-25k·13薪,"3-5年,本科,Java,元数据,权限,流程引擎",中数通信息,通信技术提供商,1000-2000人,杨女士,中数通HR@杨
Java开发工程师【深圳】,深圳-南山区,,15-26k·13薪,"3-5年,统招本科,java,mysql,数据库,redis,sql,mongodb",兴海物联,人工智能,其他,毛女士,招聘管理岗
java高级工程师,上海,,20-30k·17薪,"1-3年,统招本科,spring,java,mysql,mybatis,redis,oracle,sql",Onchain,互联网金融,A轮,杨女士,HRM
java技术经理,武汉,,20-25k·15薪,"5-10年,统招本科,Spark,服务器开发,JVM,系统开发,模块开发,Kafka,Hadoop,Elasticsearch,MongoDB,关系型数据库",某武汉制药上市公司,制药/生物工程,已上市,顾颖斌,猎头顾问
Java开发工程师（app后端开发）,上海,,15-35k·15薪,"5-10年,本科",喜马拉雅,社交网络,其他,郑女士,
JAVA开发工程师（供应链）,广州-天河区,,12-22k·13薪,"3-5年,本科,Java",中数通信息,通信技术提供商,1000-2000人,杨女士,中数通HR@杨
java开发工程师,深圳-宝安区,,18-30k,"3-5年,本科,系统开发,MySQL,Spring",唯景互娱,计算机软件,50-99人,蒋女士,HR
Java开发工程师,郑州-金水区,,6-12k·13薪,"1-3年,统招本科,系统开发,SpringMVC,Mybatis,IT/信息化领域,J2EE,Java",北京思诺博信息技术有限公司,ERP,融资未公开,姚女士,人事经理
Software Engineer(Backend Java Developer),北京-朝阳区,,面议,"3-5年,本科,Java,后端开发,Docker,Javascript,API,AWS Lambda,DynamoDB,IT/信息化领域,通信领域,汽车领域",维瑞联行车联网科技(北京)有限公司,计算机软件,500-999人,魏女士,HRBP
软件运维工程师,上海-闵行区,,10-18k·13薪,"1-3年,本科,SystemVerilog,AppleTalk DDP",华夏邓白氏,专业服务,100-499人,孙女士,Senior Recruiting Specialist
研发副经理（Java方向）,成都-高新区,,20-40k,"10年以上,统招本科,架构设计,技术支持,技术战略,系统设计,算法设计,Java,消息队列,MySQL",海泰方圆,计算机软件,天使轮,徐先生,招聘经理
JAVA 软件工程师,杭州-余杭区,,12-20k,"3-5年,统招本科,移动开发,架构设计,MySQL,SQL Server,Solr,Oracle",复星北铃(北京)医疗科技有限公司,医疗器械,融资未公开,贾女士,HRBP
JAVA 软件工程师,北京-朝阳区,,15-25k,"3-5年,统招本科,架构设计,移动开发,Solr,MySQL,SQL Server,Oracle",复星北铃(北京)医疗科技有限公司,医疗器械,融资未公开,贾女士,HRBP
java工程师,重庆,,10-15k,"1-3年,本科,系统开发,需求分析,架构设计,关系型数据库,SVN,GIT",芯爱智能,人工智能芯片,50-99人,付女士,行政人事经理
高级java工程师（智能上海）,上海-黄浦区,,21-25k,"5-10年,本科,SpringCloud,工业互联网,Java,Redis,MongoDB",宝通科技,橡塑制品,沪深A股上市,涂女士,人事经理
高级Java开发工程师(苏州)(J10486),苏州-吴江区,,10-15k·14薪,"3-5年,本科,jQuery,Tomcat,J2EE,前端开发,后端开发,Java",善诚科技发展上海,IT服务,100-499人,张女士,招聘担当
java 中级软件开发工程师(科电航宇),成都-青羊区,,15-30k·13薪,"3-5年,本科,通信领域,框架开发,框架设计,后端开发,Qt,消息队列,D语言,QML,UML,Qt Creator",广东省大湾区集成电路与系统应用研究院,芯片/集成电路,100-499人,李女士,招聘主管
Java开发工程师,上海-徐汇区,,17-25k·15薪,"5-10年,本科,后端开发,Spring,框架开发,框架设计,Spring Cloud,模块开发,JVM,Java,Golang,Objective-C",公牛集团,家具/家电,沪深A股上市,左女士,招聘经理
高级java开发工程师,苏州,,17-20k·14薪,"3-5年,大专,架构设计,IT/信息化领域,Docker,Redis,Oracle,MySQL,容器,SQL,Couchbase,消息队列",同程旅行,O2O服务,10000人以上,邱女士,HRBP
java开发工程师,上海-长宁区,,15-18k,"3-5年,本科,模块开发,需求分析,架构设计,Redis",北京瑞友科技股份有限公司,计算机软件,其他,张女士,招聘主管
JAVA系统开发工程师,北京-朝阳区,,15-20k·14薪,"3-5年,本科,jave",旅视万杨,房产开发,融资未公开,刘先生,招聘经理
（医药信息化）Java架构师,上海-徐汇区,,30-45k,"5-10年,统招本科,架构设计,技术战略,Java,SQL,Python,SQL Server",惠每移健(北京)科技有限公司,医疗信息化,100-499人,陈女士,招聘经理
Java游戏开发工程师,广州-天河区,,15-25k,"1-3年,大专,spring,java,mysql,数据库,linux,sql,netty",乐趣无限,社交网络,A轮,叶女士,招聘HR
高级java开发工程师,杭州,,25-45k·15薪,"5-10年,本科,java,mysql,数据库,oracle,linux,sql,saas",硕磐智能,计算机软件,其他,周先生,人力资源总监hrd
中高级Java开发工程师（基础开发平台研发方向）,青岛-市北区,,12-20k,"3-5年,本科,分布式,java,mysql,数据库,oracle,sql,前端开发,docker,vue,jenkins",山东正德弘远软件科技股份有限公司,计算机软件,融资未公开,孙女士,人事
java开发工程师,佛山-禅城区,,15-26k,"5-10年,本科,java",简一陶瓷,房地产/建筑,1000-2000人,陈女士,招聘经理/主管
技术总经理（Java方向）,北京-海淀区,,20-40k,"10年以上,统招本科,java,mysql,算法,oracle,javascript,css,html",海泰方圆,计算机软件,天使轮,徐先生,招聘经理
Java架构师,青岛-李沧区,,10-15k·15薪,"3-5年,统招本科,java",青岛中瑞集团,互联网/电商,2000-5000人,宋女士,HR
资深JAVA工程师（职位编号：LZHR154）,北京,,25-35k,"5-10年,本科,java",朗致集团,制药/生物工程,10000人以上,安女士,应届生
Java开发工程师,天津,,8-12k,"经验不限,学历不限,网络开发,前端开发,Apache,Objective-C,Java,C/C++,C语言",宜科电子,电子/芯片/半导体,500-999人,李女士,
java专家,上海,,35-65k·15薪,"5-10年,统招本科,架构设计,框架开发,框架设计,Tomcat,UML,MySQL,Java,Eclipse,Maven,GIT",某公司,互联网/电商,C轮,徐女士,猎头顾问
java Leader,上海-闵行区,,25-35k·17薪,"5-10年,统招本科,框架开发,框架设计,架构设计,Tomcat,UML,MySQL,Java,Eclipse,Maven,GIT",某大型互联网公司,互联网/电商,C轮,李先生,猎头顾问
高级java开发工程师,北京-大兴区,,25-40k·13薪,"5-10年,统招本科,java",某大型医药集团,互联网/电商,融资未公开,王女士,猎头顾问
Java工程师（上海，长沙）,上海,,15-20k,"1-3年,大专及以上,模块开发,需求分析,架构设计,Redis,Couchbase,Shell,MySQL,Python,SQL,Unix",某上海计算机软件公司,企业服务软件,天使轮,古女士,猎头顾问
java研发专家（北/上/成/广）,北京,,35-50k·15薪,"经验不限,统招本科,大数据领域,云计算领域,框架设计,框架开发,SQL,UML,MySQL,Java,Unix",某知名云计算公司,计算机软件,5000-10000人,高女士,猎头顾问
java,南京-雨花台区,,18-24k,"3-5年,大专",软通动力,互联网/电商,10000人以上,张女士,招聘顾问
java工程师,成都-高新区,,13-20k,"5-10年,统招本科",友邦资讯科技,IT服务,500-999人,李女士,招聘负责人兼HRBP
java开发程师（中级）,长春-净月区,,8-15k,"3-5年,大专,后端开发,系统开发,Java,银行领域",北京和顺恒通科技有限公司,金融科技,融资未公开,臧女士,集团人资经理
中高级Java开发工程师（唐山）,唐山-路北区,,12-22k,"3-5年,大专",北京和顺恒通科技有限公司,金融科技,融资未公开,臧女士,集团人资经理
资深java工程师,北京-朝阳区,,18-35k·14薪,"5-10年,统招本科",北京高域海汇科技有限公司,大数据行业应用,其他,胡女士,高级招聘专员
Java 后端开发工程师,北京-海淀区,,12-18k,"3-5年,本科",北京南天智联信息科技股份有限公司,政务/公共服务,50-99人,陈女士,HR经理
java开发,北京-东城区,,20-40k,"3-5年,统招本科",民生科技有限责任公司,IT服务,5000-10000人,蒋先生,
数据平台java工程师(J10590),成都-高新区,,18-36k·15薪,"经验不限,统招本科",斑马网络技术有限公司,互联网/电商,1000-2000人,程女士,HR（招聘）
技术经理（Java架构师）,北京-朝阳区,,30-50k,"10年以上,本科,SpringCloud,架构设计,技术管理,Java,J2EE,团队管理,软件开发,技术战略",德联易控,互联网/电商,50-99人,胡女士,HRD
高级JAVA工程师（云管）base 武汉、成都(J10233),成都,,15-25k·14薪,"5-10年,本科",北京青云科技股份有限公司,IT服务,科创板上市,王女士,人力资源伙伴(HRBP)&组织人才培养发展专家（TD）
java算法工程师,郑州-高新区,,10-12k,"经验不限,本科,后端开发,算法优化,算法开发",巩义市广益耐火材料有限公司,批发零售,50-99人,王先生,办公室职员
java高级开发工程师,深圳-南山区,,15-25k,"5-10年,统招本科,IT/信息化领域,系统开发,Java,Javascript,HTML",深圳市广和通无线股份有限公司,计算机/网络设备,已上市,周女士,
Senior Software Engineer (Java),成都-高新区,,18-30k·13薪,"经验不限,统招本科,Spring,Spring Cloud,Java,SQL,Docker,后端开发,IT/信息化领域,银行领域,金融领域,电商领域",亿磐,计算机软件,美股上市,李女士,招聘顾问
Senior Software Engineer (Java),苏州-工业园区,,18-25k·13薪,"经验不限,统招本科,后端开发,Spring,Docker,Spring Cloud,Java,IT/信息化领域,银行领域,商业信息化,大数据领域,电商领域",亿磐,计算机软件,美股上市,李女士,招聘顾问
java高级工程师,重庆-渝北区,,10-13k,"5-10年,本科,架构开发,Java,SpringMVC,Spring Boot,MySQL",重庆畅停,IT服务,融资未公开,孙女士,行政经理/主管/办公室主任
高级JAVA研发工程师,武汉-武昌区,,10-17k,"3-5年,统招本科,JVM,架构设计,SpringCloud,系统开发,Dubbo,消息队列,MySQL,Elasticsearch,RabbitMQ,Docker",湖北长江云新媒体集团有限公司,互联网+,100-499人,鄢女士,招聘专员
Java开发工程师,上海-浦东新区,,15-25k,"3-5年,本科,电商领域,教育领域,IT/信息化领域,模块开发,Java,SQL,SVN",沪江,在线教育,D轮,张先生,招聘
高级java开发工程师,天津,,10-25k,"经验不限,本科,模块开发,架构设计,Java,Jbuilder,Eclipse",尚仕时尚科技,医疗/保健/美容,1000-2000人,贾女士,招聘主管
Java开发工程师（公共技术） (MJ004594),广州-番禺区,,20-40k·13薪,"5-10年,统招本科,框架设计,框架开发,系统开发,电商领域",欢聚集团,互联网/电商,美股上市,刘女士,人事
Java Leader,上海-静安区,,面议,"5-10年,统招本科,Spring Boot,需求分析,架构设计,Spring Cloud,Redis,Kafka,Java,后端开发,架构开发,MySQL",玫琳凯,快消品,融资未公开,张先生,
Java开发工程师,上海-浦东新区,,15-30k,"3-5年,统招本科,系统开发,Java,Objective-C,C/C++,C语言,C#,Python",上海金纳信息科技有限公司,互联网金融,50-99人,杨女士,HR
JAVA Architect (Architecture Development) JAVA架构师（架构开发）,深圳-福田区,,30-40k,"5-10年,本科,JVM,Etcd,Cache,Redis",海通国际(上海)股权投资基金管理有限公司,基金/证券/投资,融资未公开,何女士,
Senior JAVA Development Engineer(Architecture Development)高级JAVA开发工程师,深圳-福田区,,20-28k,"5-10年,本科,JVM,SystemVerilog,Kafka,Redis,Pulsar,Etcd,Cache,.NET",海通国际(上海)股权投资基金管理有限公司,基金/证券/投资,融资未公开,何女士,
Java资深开发工程师,成都-高新区,,10-20k·13薪,"5-10年,本科,DevOps,Sybase,Redis,Docker,Kubernetes",友邦资讯科技,IT服务,500-999人,肖女士,HRBP
java工程师,郑州-金水区,,7-9k,"1-3年,本科,架构设计,需求分析,SpringBoot,Spring Boot,前端开发,框架设计,框架开发,架构开发,系统开发,SQL",洛阳尤尼星运输有限公司,道路运输,50-99人,白女士,人事
java技术经理,广州-天河区,,20-30k,"5-10年,本科,Java,架构设计,全栈开发,项目管理,项目交付,交付经理,架构师,技术经理,解决方案,金融领域",京北方信息,IT服务,已上市,梁女士,招聘顾问
Java开发工程师,深圳-福田区,,18-20k,"3-5年,本科,Dubbo,Java,Spring Boot",小小金(深圳)投资控股有限公司,专业服务,50-99人,叶女士,人事经理
JAVA开发工程师（厦门）,厦门-思明区,,10-15k,"1-3年,大专,框架设计,框架开发,Spring,SpringMVC,IOS框架,SpringBoot,Spring Boot,Mybatis,jQuery,JVM",今天国际,计算机软件,沪深A股上市,丹先生,招聘经理
java开发(OA系统),武汉-江夏区,,面议,"1-3年,统招本科,Java,教育领域,医疗领域,人工智能领域",武汉中旗生物医疗电子有限公司,医疗器械,100-499人,蔡女士,人事主管
java工程师,上海-普陀区,,16-25k·14薪,"3-5年,大专,J2EE,后端开发,Javascript,XML,工业互联网,WebLogic,Myeclipse,HTML5,SQL Server,MySQL",上海联元智能科技有限公司,互联网/电商,B轮,杨女士,人事专员
高级Java开发工程师（大数据方向）,上海-杨浦区,,20-35k,"5-10年,学历不限,JVM,框架开发,框架设计,架构设计,SQL,Redis,Java,消息队列,PostgreSQL,MySQL",沪江,在线教育,D轮,张先生,招聘
高级java工程师,深圳,,28-35k,"5-10年,大专,SpringCloud,Java,后端开发,系统开发,IT/信息化领域",云集智造,企业服务软件,融资未公开,林女士,HR
Java开发工程师,深圳-南山区,,10-20k,"3-5年,统招本科,模块开发,功能开发,架构设计,架构开发,移动开发,系统开发,前端开发,SQL,Java",深圳麦格米特电气股份有限公司,电子/芯片/半导体,沪深A股上市,蔡女士,人力资源
Java开发工程师(QM),北京-朝阳区,,15-20k,"1-3年,统招本科,Java",瞬联软件科技,计算机软件,1000-2000人,刘女士,招聘经理
Software Engineer (Java),深圳-南山区,,面议,"1-3年,学历不限,CI,SQL,Oracle,Shell,.NET,ActionScript,SQL Server",亿磐,计算机软件,美股上市,李女士,无
Senior Software Engineer (Java),深圳-南山区,,面议,"3-5年,学历不限,Spring,Spring Cloud,CI,Java,.NET,SQL Server,SQL,ActionScript,非关系型数据库,Linux",亿磐,计算机软件,美股上市,李女士,无
高级java开发工程师,深圳,,27-35k,"5-10年,大专,Spring Cloud,Spring,JVM,架构设计,Kubernetes,Docker,SQL",云集智造,企业服务软件,融资未公开,覃女士,招聘专员
java高级开发工程师,无锡,,15-18k,"5-10年,本科,工业互联网,SpringCloud,Java,MongoDB",宝通科技,橡塑制品,沪深A股上市,涂女士,人事经理
高级java工程师,北京-海淀区,,20-30k,"5-10年,统招本科,系统开发,后端开发,需求分析,Oracle,分布式数据库,Redis,消息队列,Java,MySQL,SQL",北京精英路通科技有限公司,IT服务,其他,戎女士,人事专员
JAVA开发工程师(深圳),深圳,,25-35k,"5-10年,统招本科,Java",瑞声光电,电子/芯片/半导体,10000人以上,邓女士,人力资源伙伴(HRBP)
中级Java开发工程师,常州-武进区,,20-35k,"5-10年,统招本科,服务器开发,系统开发,IT/信息化领域,需求分析,容器,Java,R语言",瑞声光电,电子/芯片/半导体,10000人以上,邓女士,人力资源伙伴(HRBP)
高级java开发工程师,武汉-洪山区,,18-30k·13薪,"5-10年,统招本科,SpringMVC,架构设计,系统开发,Spring,Mybatis,SQL,Java",赛意信息,计算机软件,创业板上市,黄女士,
高级java开发工程师,深圳-龙华区,,18-30k·13薪,"5-10年,统招本科,SpringMVC,Mybatis,Spring,系统开发,架构设计,SQL,Java",赛意信息,计算机软件,创业板上市,黄女士,
高级java开发工程师,深圳-龙岗区,,18-30k·13薪,"5-10年,统招本科,SpringMVC,Mybatis,Spring,系统开发,架构设计,SQL,Java",赛意信息,计算机软件,创业板上市,黄女士,
java开发工程师,厦门-思明区,,10-15k,"3-5年,大专,spring,java,mysql,数据库,linux,sql,dubbo,git,netty,idea",厦门悠生活网络科技有限公司,O2O服务,50-99人,吴女士,人力资源总监hrd
java后台开发工程师,北京-朝阳区,,10-15k,"1-3年,大专,java,mysql,redis,jquery,javascript,css,html,dubbo,mongodb,crm",北京美中宜和妇儿医院有限公司,医疗/保健/美容,1000-2000人,杨女士,招聘经理
Java开发工程师,广州-天河区,,15-30k·13薪,"3-5年,统招本科,java,Spring Boot,后端开发,Spring Cloud,Spring MVC",广州有信科技有限公司,云计算,B轮,陈女士,招聘主管
Senior Software Engineer (Java),苏州-工业园区,,面议,"5-10年,学历不限,spring,java,hibernate,oracle,linux,javascript,svn,git,junit,docker",亿磐,计算机软件,美股上市,李女士,无
Software Engineer (Java),苏州-工业园区,,面议,"1-3年,学历不限,spring,java,hibernate,oracle,linux,javascript,svn,git,shell,jenkins",亿磐,计算机软件,美股上市,李女士,无
Senior Software Engineer (Java),成都-高新区,,面议,"3-5年,学历不限,spring,java,hibernate,oracle,linux,javascript,svn,git,junit,docker",亿磐,计算机软件,美股上市,李女士,无
中欧财富 Java开发工程师,上海-虹口区,,面议,"1-3年,本科,spring,java,mybatis,数据库,sql,服务器配置",中欧基金,基金,100-499人,张女士,人力资源
Java开发工程师（南京））,南京-江宁区,,7-12k·14薪,"1-3年,统招本科,spring,java,mysql,mybatis,数据库,oracle,sql,eclipse,git,项目管理",适途汽车,计算机软件,500-999人,陈女士,人力资源
java开发工程师,苏州-虎丘区,,10-20k·13薪,"3-5年,本科,spring,java,mysql,数据库,sql,python",苏州万店掌网络科技有限公司,计算机软件,C轮,钱女士,hrbp
高级JAVA 工程师,北京-海淀区,,30-40k·14薪,"5-10年,本科,分布式,spring,java,mysql,mybatis,数据库,struts,sql,javascript",艾迪泰科科技(北京)有限公司,制药/生物工程,融资未公开,赵女士,HRD
JAVA全栈开发,南宁-青秀区,,4-8k,"1-3年,本科,javascript,java,css,mysql,数据库,spring,linux,html,bootstrap,ajax",云图智造(北京)科技有限公司,计算机软件,融资未公开,韩女士,HR
Software Engineer (Java),成都-高新区,,面议,"1-3年,学历不限,CI,.NET,SQL,ActionScript,SQL Server,Shell,Oracle",亿磐,计算机软件,美股上市,李女士,无
资深Java开发工程师（第二药房）,北京-大兴区,,25-30k,"3-5年,统招本科,spring,java,mybatis,dubbo,nosql",朗致集团,制药/生物工程,10000人以上,安女士,应届生
Java工程师（支付）,上海,,15-30k·14薪,"3-5年,本科,java,mysql,mybatis,redis,linux",同程数科,金融科技,其他,樊女士,招聘专员
高级java开发工程师,深圳-福田区,,15-30k,"5-10年,本科,分布式,spring,java,mysql,数据库,redis,sql,nosql,mongodb,hadoop",深圳前海鼎颂法务创新集团,大数据,50-99人,韦先生,
中级java工程师,北京-海淀区,,20-30k·14薪,"1-3年,本科,分布式,spring,java,mysql,mybatis,数据库,struts,sql,javascript",艾迪泰科科技(北京)有限公司,制药/生物工程,融资未公开,赵女士,HRD
Japanese Java 日语,上海,,12-24k·13薪,"经验不限,学历不限,javascript,java,angular",普华永道信息技术,IT服务,10000人以上,邹女士,HR
java开发工程师,沧州,,6-10k,"1-3年,大专,分布式,java,mysql,mybatis,redis,oracle,javascript,junit",河北华烨冀科信息技术有限责任公司,计算机软件,融资未公开,刘女士,人事
JAVA软件工程师-中级/中高级 (MJ000478),廊坊-广阳区,,15-25k,"3-5年,统招本科,spring,java,mysql,mybatis,redis",瞬联软件科技,计算机软件,1000-2000人,刘女士,招聘经理
合肥Java软件开发工程师,合肥,,10-15k,"3-5年,本科,Tomcat,PostgreSQL,Oracle,MySQL,容器",云南白药集团股份有限公司,制药/生物工程,沪深A股上市,陈女士,医药产品岗
高级Java研发工程师,长沙,,16-19k,"3-5年,硕士,java",威胜信息技术股份有限公司,电子/芯片/半导体,已上市,黄女士,招聘经理
中级java工程师,郑州-郑东新区,,10-20k,"3-5年,统招本科,分布式,java,数据库,redis,linux,dubbo,memcached,系统架构",天瑞集团,采掘/冶炼/矿产,10000人以上,白先生,
Java Team Lead,西安-雁塔区,,20-30k·13薪,"5-10年,本科,spring,java,sql,docker,jenkins,framework,shell",ALTRAN,通信业,10000人以上,魏女士,
高级Java开发工程师（大数据方向）,上海,,20-30k,"5-10年,大专,java,mysql,mybatis,数据库,redis,linux,sql,nosql,shell,hadoop",沪江,在线教育,D轮,罗先生,招聘
Java总监-阿拉丁科技,北京-朝阳区,,40-50k·13薪,"5-10年,统招本科,spring,java,mysql,mybatis,数据库,redis,oracle,linux,sql,dubbo",阿拉丁控股集团,基金/证券/投资,100-499人,周先生,
java开发工程师,上海-普陀区,,15-25k·14薪,"3-5年,统招本科,spring,java,mysql,mybatis,数据库,oracle,sql,dubbo",新潮传媒集团,广告/市场/会展,D轮,居先生,董事长助理
JAVA程序员 JAVA软件工程师 JAVA开发工程师,宁波-慈溪,,6-8k,"一年以下,大专,spring,java,mysql,数据库",慈溪市顺通网络技术有限公司,计算机软件,融资未公开,韩先生,
高级JAVA开发工程师,北京-海淀区,,17-30k,"3-5年,本科,hadoop,spark,mysql,java,linux,oracle,spring,javascript,html,xml",中资医疗医药应急保障平台,大数据,融资未公开,刘女士,HR
高级Java研发工程师,北京,,15-25k,"5-10年,本科,模块开发,架构设计,架构开发,JVM,Web开发,Spring,功能开发,框架开发,框架设计,Kafka",北京利和,制药/生物工程,500-999人,王女士,HRBP
java工程师,北京-朝阳区,,7-12k,"1-3年,大专,spring,java,mybatis,jquery,css,html,svn,git,前端开发,bootstrap",北京智仿科技有限公司,计算机软件,,孟女士,人事行政
java后端开发工程师,南京-江宁区,,7-10k·13薪,"1-3年,本科,spring,java,mysql,mybatis,数据库,oracle,sql,eclipse,git,项目管理",适途汽车,计算机软件,500-999人,陈女士,人力资源
高级Java工程师（后台）(TJ0006),苏州-工业园区,,15-30k,"5-10年,本科,分布式,spring,java,mysql,数据库,hibernate,hadoop,系统架构",万得,互联网/电商,其他,姚女士,高级招聘专员
高级JAVA软件工程师(TJ0003),苏州-工业园区,,15-30k,"3-5年,统招本科,分布式,spring,java,mysql,数据库,hibernate,oracle,hadoop,html5,spark",万得,互联网/电商,其他,姚女士,高级招聘专员
Java架构师(TJ0005),苏州-工业园区,,15-30k,"10年以上,统招本科,分布式,java,hadoop,html5,spark,python,c++,机器学习,自然语言处理",万得,互联网/电商,其他,姚女士,高级招聘专员
中级java开发工程师,上海-浦东新区,,13-18k,"1-3年,本科,分布式,java,mysql,数据库,oracle,linux,sql,javascript,html,nosql",雷腾软件,互联网/电商,新三板上市,王女士,人力资源主管
高级JAVA开发工程师,深圳,,30-50k,"5-10年,本科,分布式,spring,java,mysql,数据库,sql",金蝶,互联网/电商,已上市,蒋女士,HRBP
高级JAVA开发工程师,北京-海淀区,,15-20k,"经验不限,本科,SpringBoot,Spring Boot,Java,消息队列,RabbitMQ,Redis,Zookeeper,关系型数据库",新道科技股份有限公司,在线教育,新三板上市,李女士,招聘主管
Java高级开发工程师,北京-海淀区,,20-30k,"经验不限,本科,SpringBoot,Spring Boot,消息队列,Java,RabbitMQ,关系型数据库,Redis",新道科技股份有限公司,在线教育,新三板上市,李女士,招聘主管
高级Java开发工程师,上海-静安区,,20-40k·14薪,"经验不限,本科,spring,java,mysql,数据库,redis",上海弼博信息技术有限公司,互联网/电商,100-499人,奚女士,招聘主管
Java开发工程师,北京,,20-21k,"3-5年,本科,java",北京汇企智服科技有限公司,行业解决方案,融资未公开,姚女士,联合创始人
资深Java软件工程师(TJ0013),南京-建邺区,,15-20k,"5-10年,统招本科,架构设计,系统开发,J2EE,Hadoop",万得,互联网/电商,其他,姚女士,高级招聘专员
资深Java软件工程师(TJ0004),上海-浦东新区,,15-20k,"5-10年,统招本科,架构设计,系统开发,J2EE,Hadoop",万得,互联网/电商,其他,姚女士,高级招聘专员
高级java开发工程师,上海,,25-30k·13薪,"5-10年,大专,分布式,spring,java,mysql,mybatis,数据库",CDP集团,专业服务,500-999人,张女士,TA Specialist&HRBP
高级Java工程师,上海,,20-30k,"5-10年,本科,java,mysql,mybatis,redis,linux",上海航数智能科技有限公司,互联网/电商,50-99人,程女士,人事总监
高级java开发工程师,成都-武侯区,,15-20k,"5-10年,统招本科,Hibernate,JUnit,Spring,Struts,内容开发,模块开发,MVC,IT/信息化领域,Web开发,Jetty",四川弘和集团,互联网/电商,100-499人,唐先生,
资深java架构师,上海-浦东新区,,25-35k·16薪,"3-5年,本科及以上",某深圳电子技术上市公司,电子设备,已上市,付女士,猎头顾问
java高级软件工程师,上海-浦东新区,,25-26k,"5-10年,本科及以上,Java",某知名公司,生活服务,融资未公开,余女士,猎头顾问
java后台开发工程师（自研/周末双休）,深圳-南山区,,35-50k·16薪,"3-5年,统招本科,后端开发,Java,Spring Boot,Spring,Spring Cloud,MySQL,Redis,Kafka,JVM,Dubbo",某互联网公司,金融科技,,陈女士,猎头顾问
java高级开发工程师,北京-海淀区,,20-30k,"经验不限,本科及以上",某国内互联网上市公司,在线教育,已上市,张女士,猎头顾问
java开发,上海,,20-40k·15薪,"3-5年,统招本科,Java",某上海知名上市公司,门户网站,已上市,夏先生,猎头顾问
java开发,深圳,,8-12k,"1-3年,统招本科,框架设计,框架开发,Struts,商业信息化,Hibernate,VR开发,SpringMVC,Mybatis,Spring,IT/信息化领域",某北京计算机软件公司,计算机软件,融资未公开,鲁女士,猎头顾问
Java开发工程师,上海,,13-18k·14薪,"1-3年,统招本科,框架设计,框架开发,Web开发,UML",国内知名人工智能领域上市集团,互联网/电商,已上市,周先生,猎头顾问
java(后端）,北京,,15-25k·15薪,"3-5年,统招本科,架构设计,框架开发,框架设计,架构开发,Spring Boot,后端开发,Spring,大数据领域,Docker,容器",某知名产业地产,房产开发,融资未公开,唐先生,猎头顾问
Java开发工程师,杭州,,40-50k·13薪,"5-10年,本科及以上,Web开发,功能开发,模块开发,架构设计,Java",杭州鸿昆企业管理咨询有限公司,专业服务,1-49人,曾先生,猎头顾问
Java开发工程师,杭州,,40-50k·13薪,"5-10年,本科及以上,Web开发,功能开发,模块开发,架构设计,Java",杭州鸿昆企业管理咨询有限公司,专业服务,1-49人,周女士,猎头顾问
java高级工程师,深圳,,30-60k,"3-5年,统招本科,Dubbo,JVM,IT/信息化领域,Redis,Zookeeper",某top券商公司,证券,已上市,钟女士,猎头顾问
